name,unified_sutra_code,sutra_code,sutra_name,due_reel_count,existed_reel_count,start_volume,end_volume,remark
GL0609,UN1655,GL0609,唯識三十論頌,1,1,,,
GL0610,UN1659,GL0610,大乘唯識論,1,1,,,
GL0611,UN1656,GL0611,顯識論,1,1,,,
GL0612,UN1657,GL0612,轉識論,1,1,,,
GL0613,UN1658,GL0613,唯識論,1,1,,,
GL0614,UN1654,GL0614,成唯識論,10,10,,,
GL0615,UN1647,GL0615,大丈夫論,2,2,,,
GL0616,UN1736,GL0616,大乘起信論,1,1,,,
GL0617,UN1715,GL0617,寶行王正論,1,1,,,
GL0618,UN1682,GL0618,大乘五蘊論,1,1,,,
GL0619,UN1683,GL0619,大乘廣五蘊論,1,1,,,
GL0620,UN1648,GL0620,大乘掌珍論,2,2,,,
GL0621,UN1724,GL0621,入大乘論,2,2,,,
GL0622,UN1687,GL0622,三無性論,2,2,,,
GL0623,UN1737,GL0623,大乘起信論,2,2,,,
GL0624,UN1729,GL0624,發菩提心經論,2,2,,,
GL0625,UN1694,GL0625,觀所緣論釋,1,1,,,
GL0626,,GL0626,如實論反質難品,1,1,,,
GL0627,UN1722,GL0627,方便心論,1,1,,,
GL0628,UN1693,GL0628,觀所緣緣論,1,1,,,
GL0629,UN1692,GL0629,無相思塵論,1,1,,,
GL0630,UN1721,GL0630,廻諍論,1,1,,,
GL0631,UN1642,GL0631,百字論,1,1,,,
GL0632,UN1643,GL0632,壹輸盧迦論,1,1,,,
GL0633,UN1677,GL0633,六門敎授習定論,1,1,,,
GL0634,UN1716,GL0634,手杖論,1,1,,,
GL0635,UN1691,GL0635,觀惣相論頌,1,1,,,
GL0636,UN1690,GL0636,取因假設論,1,1,,,
GL0637,UN1688,GL0637,掌中論,1,1,,,
GL0638,UN1714,GL0638,止觀門論頌,1,1,,,
GL0639,UN1696,GL0639,大乘法界無差別論,1,1,,,
GL0640,UN1697,GL0640,大乘法界無差別論,1,1,,,
GL0641,UN1711,GL0641,緣生論,1,1,,,
GL0642,UN1699,GL0642,提婆菩薩釋楞伽經中外道小乘涅槃論,1,1,,,
GL0643,UN1689,GL0643,解捲論,1,1,,,
GL0644,,GL0644,大乘百法明門論本事分中略錄名數,1,1,,,
GL0645,UN1698,GL0645,提婆菩薩破楞伽經中外道小乘四宗論,1,1,,,
GL0646,UN1710,GL0646,十二因緣論,1,1,,,
GL0647,UN0001,GL0647,佛說長阿含經,22,22,,,
GL0648,UN0028,GL0648,中阿含經,60,60,,,
GL0649,UN0144,GL0649,增壹阿含經,51,51,,,
GL0650,UN0102,GL0650,雜阿含經,50,50,,,
GL0651,UN0103,GL0651,別譯雜阿含經,16,16,,,
GL0652,UN0409,GL0652,大般涅槃經,3,3,,,
GL0653,UN0005,GL0653,佛般泥洹經,2,2,,,
GL0654,UN0006,GL0654,般泥洹經,2,2,,,
GL0655,UN0015,GL0655,佛說人本欲生經,1,1,,,
GL0656,UN0018,GL0656,佛說屍迦羅越六方禮經,1,1,,,
GL0657,,GL0657,佛開解梵志阿颰經,1,1,,,
GL0658,UN0024,GL0658,佛說寂志果經,1,1,,,
GL0659,UN0023,GL0659,佛說梵網六十二見經,1,1,,,
GL0660,UN0026,GL0660,起世經,10,10,,,
GL0661,UN0027,GL0661,起世因本經,10,10,,,
GL0662,UN0025,GL0662,大樓炭經,6,6,,,
GL0663,UN0190,GL0663,中本起經,2,2,,,
GL0664,UN0014,GL0664,長阿含十報法經,2,2,,,
GL0665,UN0029,GL0665,佛說七知經,1,1,,,
GL0666,UN0061,GL0666,佛說諸法本經,1,1,,,
GL0667,UN0069,GL0667,幣魔試目連經,1,1,,,
GL0668,UN0031,GL0668,佛說鹹水喩經,1,1,,,
GL0669,UN0039,GL0669,佛說緣本致經,1,1,,,
GL0670,UN0046,GL0670,佛說古來世時經,1,1,,,
GL0671,UN0053,GL0671,佛說梵志計水淨經,1,1,,,
GL0672,UN0033,GL0672,佛說一切流攝守因經,1,1,,,
GL0673,UN0034,GL0673,佛說四諦經,1,1,,,
GL0674,UN0038,GL0674,佛說本相猗致經,1,1,,,
GL0675,UN0035,GL0675,佛說恒水經,1,1,,,
GL0676,UN0041,GL0676,佛說頂生王故事經,1,1,,,
GL0677,UN0051,GL0677,佛說求欲經,1,1,,,
GL0678,UN0057,GL0678,佛說苦陰因事經,1,1,,,
GL0679,UN0065,GL0679,佛說瞻婆比丘經,1,1,,,
GL0680,UN0067,GL0680,佛說伏婬經,1,1,,,
GL0681,UN0042,GL0681,佛說文陀竭王經,1,1,,,
GL0682,UN0045,GL0682,佛說閻羅王五天使者經,1,1,,,
GL0683,UN0062,GL0683,佛說瞿曇彌記果經,1,1,,,
GL0684,UN0044,GL0684,佛說鐵城泥犁經,1,1,,,
GL0685,UN0060,GL0685,佛說阿耨風經,1,1,,,
GL0686,UN0047,GL0686,佛說阿那律八念經,1,1,,,
GL0687,UN0049,GL0687,佛說離睡經,1,1,,,
GL0688,UN0052,GL0688,佛說受歲經,1,1,,,
GL0689,UN0058,GL0689,佛說樂想經,1,1,,,
GL0690,UN0050,GL0690,佛說是法非法經,1,1,,,
GL0691,UN0056,GL0691,佛說釋摩男本四子經,1,1,,,
GL0692,UN0055,GL0692,佛說苦陰經,1,1,,,
GL0693,UN0059,GL0693,佛說漏分佈經,1,1,,,
GL0694,UN0068,GL0694,佛說魔嬈亂經,1,1,,,
GL0695,UN0082,GL0695,佛說鸚鵡經,1,1,,,
GL0696,UN0148,GL0696,佛說四人出現世間經,1,1,,,
GL0697,UN0095,GL0697,佛說鞞摩肅經,1,1,,,
GL0698,UN0099,GL0698,佛說箭喩經,1,1,,,
GL0699,UN0155,GL0699,佛說食施獲五福報經,1,1,,,
GL0700,UN0074,GL0700,佛說三歸五戒慈心厭離功德經,1,1,,,
GL0701,UN0081,GL0701,佛說兜調經,1,1,,,
GL0702,UN0098,GL0702,佛說邪見經,1,1,,,
GL0703,UN0096,GL0703,佛說婆羅門子命終愛念不離經,1,1,,,
GL0704,UN0097,GL0704,佛說十支居士八城人經,1,1,,,
GL0705,UN0154,GL0705,佛說婆羅門避死經,1,1,,,
GL0706,UN0086,GL0706,佛說意經,1,1,,,
GL0707,UN0080,GL0707,佛說尊上經,1,1,,,
GL0708,UN0137,GL0708,佛說鴦掘摩經,1,1,,,
GL0709,UN0087,GL0709,佛說應法經,1,1,,,
GL0710,UN0072,GL0710,佛說數經,1,1,,,
GL0711,UN0143,GL0711,佛說波斯匿王太后崩塵土坌身經,1,1,,,
GL0712,UN0091,GL0712,佛說泥犁經,1,1,,,
GL0713,UN0135,GL0713,佛說戒德香經,1,1,,,
GL0714,UN0093,GL0714,優波夷墮舍迦經,1,1,,,
GL0715,UN0077,GL0715,佛爲黃竹園老婆羅門說學經,1,1,,,
GL0716,UN0157,GL0716,頻毘娑羅王詣佛供養經,1,1,,,
GL0717,UN0101,GL0717,佛說普法義經,1,1,,,
GL0718,UN0019,GL0718,佛說善生子經,1,1,,,
GL0719,UN0073,GL0719,梵志頞波羅延問種尊經,1,1,,,
GL0720,UN0070,GL0720,佛說賴吒和羅經,1,1,,,
GL0721,UN0092,GL0721,佛說齋經,1,1,,,
