name,tripitaka_code,volume_num,first_page,last_page,content_page_count,front_cover_count,back_cover_count,content_pages,remark
PL_1027,PL,1027,1,19,19,0,0,"['PL_1027_1', 'PL_1027_2', 'PL_1027_3', 'PL_1027_4', 'PL_1027_5', 'PL_1027_6', 'PL_1027_7', 'PL_1027_8', 'PL_1027_9', 'PL_1027_10', 'PL_1027_11', 'PL_1027_12', 'PL_1027_13', 'PL_1027_14', 'PL_1027_15', 'PL_1027_16', 'PL_1027_17', 'PL_1027_18', 'PL_1027_19']",
PL_1028,PL,1028,1,24,24,0,0,"['PL_1028_1', 'PL_1028_2', 'PL_1028_3', 'PL_1028_4', 'PL_1028_5', 'PL_1028_6', 'PL_1028_7', 'PL_1028_8', 'PL_1028_9', 'PL_1028_10', 'PL_1028_11', 'PL_1028_12', 'PL_1028_13', 'PL_1028_14', 'PL_1028_15', 'PL_1028_16', 'PL_1028_17', 'PL_1028_18', 'PL_1028_19', 'PL_1028_20', 'PL_1028_21', 'PL_1028_22', 'PL_1028_23', 'PL_1028_24']",
PL_1029,PL,1029,1,22,22,0,0,"['PL_1029_1', 'PL_1029_2', 'PL_1029_3', 'PL_1029_4', 'PL_1029_5', 'PL_1029_6', 'PL_1029_7', 'PL_1029_8', 'PL_1029_9', 'PL_1029_10', 'PL_1029_11', 'PL_1029_12', 'PL_1029_13', 'PL_1029_14', 'PL_1029_15', 'PL_1029_16', 'PL_1029_17', 'PL_1029_18', 'PL_1029_19', 'PL_1029_20', 'PL_1029_21', 'PL_1029_22']",
PL_103,PL,103,1,23,23,0,0,"['PL_103_1', 'PL_103_2', 'PL_103_3', 'PL_103_4', 'PL_103_5', 'PL_103_6', 'PL_103_7', 'PL_103_8', 'PL_103_9', 'PL_103_10', 'PL_103_11', 'PL_103_12', 'PL_103_13', 'PL_103_14', 'PL_103_15', 'PL_103_16', 'PL_103_17', 'PL_103_18', 'PL_103_19', 'PL_103_20', 'PL_103_21', 'PL_103_22', 'PL_103_23']",
PL_1030,PL,1030,1,16,16,0,0,"['PL_1030_1', 'PL_1030_2', 'PL_1030_3', 'PL_1030_4', 'PL_1030_5', 'PL_1030_6', 'PL_1030_7', 'PL_1030_8', 'PL_1030_9', 'PL_1030_10', 'PL_1030_11', 'PL_1030_12', 'PL_1030_13', 'PL_1030_14', 'PL_1030_15', 'PL_1030_16']",
PL_1031,PL,1031,1,20,20,0,0,"['PL_1031_1', 'PL_1031_2', 'PL_1031_3', 'PL_1031_4', 'PL_1031_5', 'PL_1031_6', 'PL_1031_7', 'PL_1031_8', 'PL_1031_9', 'PL_1031_10', 'PL_1031_11', 'PL_1031_12', 'PL_1031_13', 'PL_1031_14', 'PL_1031_15', 'PL_1031_16', 'PL_1031_17', 'PL_1031_18', 'PL_1031_19', 'PL_1031_20']",
PL_1032,PL,1032,1,19,19,0,0,"['PL_1032_1', 'PL_1032_2', 'PL_1032_3', 'PL_1032_4', 'PL_1032_5', 'PL_1032_6', 'PL_1032_7', 'PL_1032_8', 'PL_1032_9', 'PL_1032_10', 'PL_1032_11', 'PL_1032_12', 'PL_1032_13', 'PL_1032_14', 'PL_1032_15', 'PL_1032_16', 'PL_1032_17', 'PL_1032_18', 'PL_1032_19']",
PL_1033,PL,1033,1,18,18,0,0,"['PL_1033_1', 'PL_1033_2', 'PL_1033_3', 'PL_1033_4', 'PL_1033_5', 'PL_1033_6', 'PL_1033_7', 'PL_1033_8', 'PL_1033_9', 'PL_1033_10', 'PL_1033_11', 'PL_1033_12', 'PL_1033_13', 'PL_1033_14', 'PL_1033_15', 'PL_1033_16', 'PL_1033_17', 'PL_1033_18']",
PL_1034,PL,1034,1,26,26,0,0,"['PL_1034_1', 'PL_1034_2', 'PL_1034_3', 'PL_1034_4', 'PL_1034_5', 'PL_1034_6', 'PL_1034_7', 'PL_1034_8', 'PL_1034_9', 'PL_1034_10', 'PL_1034_11', 'PL_1034_12', 'PL_1034_13', 'PL_1034_14', 'PL_1034_15', 'PL_1034_16', 'PL_1034_17', 'PL_1034_18', 'PL_1034_19', 'PL_1034_20', 'PL_1034_21', 'PL_1034_22', 'PL_1034_23', 'PL_1034_24', 'PL_1034_25', 'PL_1034_26']",
PL_1035,PL,1035,1,26,26,0,0,"['PL_1035_1', 'PL_1035_2', 'PL_1035_3', 'PL_1035_4', 'PL_1035_5', 'PL_1035_6', 'PL_1035_7', 'PL_1035_8', 'PL_1035_9', 'PL_1035_10', 'PL_1035_11', 'PL_1035_12', 'PL_1035_13', 'PL_1035_14', 'PL_1035_15', 'PL_1035_16', 'PL_1035_17', 'PL_1035_18', 'PL_1035_19', 'PL_1035_20', 'PL_1035_21', 'PL_1035_22', 'PL_1035_23', 'PL_1035_24', 'PL_1035_25', 'PL_1035_26']",
PL_1037,PL,1037,1,25,25,0,0,"['PL_1037_1', 'PL_1037_2', 'PL_1037_3', 'PL_1037_4', 'PL_1037_5', 'PL_1037_6', 'PL_1037_7', 'PL_1037_8', 'PL_1037_9', 'PL_1037_10', 'PL_1037_11', 'PL_1037_12', 'PL_1037_13', 'PL_1037_14', 'PL_1037_15', 'PL_1037_16', 'PL_1037_17', 'PL_1037_18', 'PL_1037_19', 'PL_1037_20', 'PL_1037_21', 'PL_1037_22', 'PL_1037_23', 'PL_1037_24', 'PL_1037_25']",
PL_1038,PL,1038,1,20,20,0,0,"['PL_1038_1', 'PL_1038_2', 'PL_1038_3', 'PL_1038_4', 'PL_1038_5', 'PL_1038_6', 'PL_1038_7', 'PL_1038_8', 'PL_1038_9', 'PL_1038_10', 'PL_1038_11', 'PL_1038_12', 'PL_1038_13', 'PL_1038_14', 'PL_1038_15', 'PL_1038_16', 'PL_1038_17', 'PL_1038_18', 'PL_1038_19', 'PL_1038_20']",
PL_1039,PL,1039,1,23,23,0,0,"['PL_1039_1', 'PL_1039_2', 'PL_1039_3', 'PL_1039_4', 'PL_1039_5', 'PL_1039_6', 'PL_1039_7', 'PL_1039_8', 'PL_1039_9', 'PL_1039_10', 'PL_1039_11', 'PL_1039_12', 'PL_1039_13', 'PL_1039_14', 'PL_1039_15', 'PL_1039_16', 'PL_1039_17', 'PL_1039_18', 'PL_1039_19', 'PL_1039_20', 'PL_1039_21', 'PL_1039_22', 'PL_1039_23']",
PL_104,PL,104,1,23,23,0,0,"['PL_104_1', 'PL_104_2', 'PL_104_3', 'PL_104_4', 'PL_104_5', 'PL_104_6', 'PL_104_7', 'PL_104_8', 'PL_104_9', 'PL_104_10', 'PL_104_11', 'PL_104_12', 'PL_104_13', 'PL_104_14', 'PL_104_15', 'PL_104_16', 'PL_104_17', 'PL_104_18', 'PL_104_19', 'PL_104_20', 'PL_104_21', 'PL_104_22', 'PL_104_23']",
